Label,Message
Flight,The PNR for your Air India Flt 7R545 for PNY-STV on 2010-09-30 at 0:28 hrs  is N6WZPU. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Expiry,Maha Veer Auto Agency : Service of your car KA72T5383 is due in 56 days on 2013-12-26. Please contact us at 9836315434 to book a service.
Cab,"Thank you for choosing Meru for 2010-05-12 at 22:40. Cab:KA38I1364 , Chauffer: Jake, Cell: 9325268742 will reach you. T&C apply, visit www.Meru.com"
Train,"PNR:3574171636,TRAIN:18586,DOJ:2009-09-22,AC3,AMBR-BLSR,Dep:20:41, Mitchell,B6 50 , Fare:779,SC:10.0+PG+INS"
Expiry,Lakshmi Auto Agency : Service of your car KA53Q3556 is due in 16 days on 2010-12-12. Please contact us at 9124578776 to book a service.
Reservation,"[Secret Recipe] Hi Eduardo, your reservation is confirmed for 16 people on 2014-04-13 at 23:10. We can hold your table for a maximum of 25 mins."
PickUp,"Repair ref.no for your car is JC23773773 opened on 2013-06-03 22:26hrs,ETD of your car is 2013-06-04 22:32hrs and est.repair amt is Rs.1497 Rgds, Sarden Auto Agency"
Reservation,"[Types of restaurant] Hi Alan, your reservation is confirmed for 25 people on 2011-02-07 at 1:26. We can hold your table for a maximum of 28 mins."
Reservation,"[Vida e Caff] Hi Eric, your reservation is confirmed for 20 people on 2011-12-09 at 18:13. We can hold your table for a maximum of 17 mins."
Delivery,"Dear Guest, Thanks for choosing dunkindonuts. Order ID 4653. Delivery by 2014-04-25 6:43. Enjoy 19% discount on your next purchase. Code KBU8TK. T&C."
Cab,"Thank you for choosing taxiforsure for 2013-02-09 at 12:17. Cab:KA16T7857 , Chauffer: Gabriel, Cell: 9373726751 will reach you. T&C apply, visit www.taxiforsure.com"
Cab,"Thank you for choosing Meru for 2015-08-07 at 13:10. Cab:KA71F8432 , Chauffer: Isaiah, Cell: 9458731456 will reach you. T&C apply, visit www.Meru.com"
Payment,Bill dated 2012-06-17 for Rs 910 has been generated for your Reliance fixedline/broadband relationship no. 62156338. The same will reach you by 2012-06-20. Due date: 2012-07-02.
Cab,"Thank you for choosing Uber for 2015-03-24 at 14:23. Cab:KA68K8721 , Chauffer: Josue, Cell: 9248647846 will reach you. T&C apply, visit www.Uber.com"
PickUp,"Repair ref.no for your car is JC72342355 opened on 2013-08-05 21:32hrs,ETD of your car is 2013-08-06 11:40hrs and est.repair amt is Rs.1386 Rgds, Maruti Auto Agency"
Bus,"* KSRTC m-Ticket *  from: Coimbatore to: SAGAR PsngrName: Oscar TripCode: 129CoiSAG PNR No.: J51443243 JnyDate: 2013-09-10 DepTime: 1:29  SeatNo.: 36, 17, 18, 51, 4, 27, 30  Class: Non-AC Sleeper  BoardingPt: Coimbatore Bus Stand Road Txn Password: 2841 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Bus,"* KSRTC m-Ticket *  from: Dharmastala to: SAGAR PsngrName: Noah TripCode: 1414DhaSAG PNR No.: J23117905 JnyDate: 2012-02-23 DepTime: 14:14  SeatNo.: 32, 14, 24, 57, 58, 27  Class: AC Sleeper  BoardingPt: Dharmastala Residency Road Txn Password: 4448 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Movie,"Hi Customer, Booking ID: WZSBJ3A. Seats: SILVER-H13,H14,H15,H16,H17, 5 seat(s) for Kung Fu Panda 3 on 2009-09-23 7:12 at Gopalan Miniplex: Signature Mall, Old Madras Road. Please carry your CC/DC card which was used for booking tickets."
Cab,"Thank you for choosing radiocabs for 2011-12-11 at 23:14. Cab:KA51G5772 , Chauffer: Dustin, Cell: 9181367364 will reach you. T&C apply, visit www.radiocabs.com"
Payment,Bill dated 2013-11-12 for Rs 216 has been generated for your Bsnl fixedline/broadband relationship no. 24825684. The same will reach you by 2013-11-15. Due date: 2013-11-27.
Expiry,Aryan Auto Agency : Service of your car KA81F7582 is due in 38 days on 2010-06-22. Please contact us at 9618848815 to book a service.
Appointment,Appointment with Dr Antonio in SAGAR on 2012-03-29 at 19:52 is confirmed. For queries call 1800 2476 2644. Your appt. might get delayed in case the doctor is attending an emergency.
Delivery,"Dear Guest, Thanks for choosing Breadsmith. Order ID 2626. Delivery by 2010-09-09 14:30. Enjoy 12% discount on your next purchase. Code PPEOAY. T&C."
Appointment,Appointment with Dr Jared in SAGAR on 2015-04-07 at 23:16 is confirmed. For queries call 1800 3836 1183. Your appt. might get delayed in case the doctor is attending an emergency.
Reservation,"[Puijo tower] Hi Charles, your reservation is confirmed for 26 people on 2014-12-25 at 4:52. We can hold your table for a maximum of 21 mins."
Movie,"Hi Customer, Booking ID: W1PMM73. Seats: GOLD-G7,G8, 2 seat(s) for Miss Peregrine's Home for Peculiar Children on 2014-02-28 8:48 at Gopalan Miniplex: Signature Mall, Old Madras Road. Please carry your CC/DC card which was used for booking tickets."
Flight,The PNR for your AirAsia Flt 3X535 for MZU-KLH on 2014-05-05 at 5:57 hrs  is E1I88S. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Hotel,"Welcome to Dakhla Airport R.No. 448, 547, 372, 446 Ch.In 2011-12-25 6:21 Ch.out 2012-01-14 12:00."
Flight,The PNR for your INDIGO Flt 4R663 for IXM-LDA on 2011-11-18 at 5:44 hrs  is YU1E9T. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Hotel,Welcome to Wheelock College R.No. 375 Ch.In 2013-08-20 9:41 Ch.out 2013-09-13 12:00.
Appointment,Appointment with Dr Adam in OOTY on 2013-01-20 at 4:26 is confirmed. For queries call 1800 1272 1583. Your appt. might get delayed in case the doctor is attending an emergency.
Reservation,"[el taurino] Hi Luis, your reservation is confirmed for 6 people on 2012-01-19 at 10:38. We can hold your table for a maximum of 30 mins."
Delivery,"Dear Guest, Thanks for choosing Pepper Jack Grill. Order ID 5215. Delivery by 2013-12-14 17:56. Enjoy 25% discount on your next purchase. Code TZ3ZF1. T&C."
Bus,"* KSRTC m-Ticket *  from: PUDUKOTAI to: SRIKALAHASTI PsngrName: Garrett TripCode: 2032PUDSRI PNR No.: J31722809 JnyDate: 2011-05-27 DepTime: 20:32  SeatNo.: 2, 38, 40, 44, 46, 47, 21  Class: AC chair  BoardingPt: PUDUKOTAI Rly Station Txn Password: 1453 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
PickUp,"Repair ref.no for your car is JC15314313 opened on 2012-07-25 21:25hrs,ETD of your car is 2012-07-26 7:24hrs and est.repair amt is Rs.2922 Rgds, Sarden Auto Agency"
Payment,Bill dated 2015-05-14 for Rs 468 has been generated for your Docomo fixedline/broadband relationship no. 12163276. The same will reach you by 2015-05-17. Due date: 2015-05-29.
Payment,Bill dated 2013-01-23 for Rs 899 has been generated for your Idea fixedline/broadband relationship no. 45682224. The same will reach you by 2013-01-26. Due date: 2013-02-07.
Bus,"* KSRTC m-Ticket *  from: Ernakulam to: UDUPI PsngrName: Jayden TripCode: 446ErnUDU PNR No.: J21255863 JnyDate: 2014-11-11 DepTime: 4:46  SeatNo.: 2, 3, 12, 46, 17, 52, 14, 56, 58  Class: AC Sleeper  BoardingPt: Ernakulam Rly Station Txn Password: 1887 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Delivery,"Dear Guest, Thanks for choosing Cecconi. Order ID 6817. Delivery by 2013-05-08 19:35. Enjoy 17% discount on your next purchase. Code RXDYUX. T&C."
Delivery,"Dear Guest, Thanks for choosing Country Style. Order ID 3367. Delivery by 2010-02-24 16:19. Enjoy 23% discount on your next purchase. Code W0688E. T&C."
Reservation,"[Pollo Campero] Hi Nolan, your reservation is confirmed for 12 people on 2014-05-07 at 14:16. We can hold your table for a maximum of 17 mins."
Hotel,"Welcome to Infy R.No. 212, 277, 342 Ch.In 2013-06-07 1:32 Ch.out 2013-06-26 12:00."
Train,"PNR:6743153765,TRAIN:24137,DOJ:2010-12-25,AC3,ATUL-BHY,Dep:4:46, Miguel,B8 54 , Fare:9610,SC:10.0+PG+INS"
Hotel,"Welcome to SUMMIT BK NA R.No. 256, 147 Ch.In 2010-12-09 17:34 Ch.out 2010-12-15 12:00."
Movie,"Hi Customer, Booking ID: WMAWV46. Seats: PLATINUM-K4,K5,K6,K7,K8,K9,K10,K11, 8 seat(s) for Ghostbusters on 2013-10-15 2:17 at Gopalan Cinemas: Bannerghatta Road. Please carry your CC/DC card which was used for booking tickets."
Hotel,"Welcome to Via della Pace R.No. 288, 139, 453, 391 Ch.In 2010-12-23 14:53 Ch.out 2011-01-09 12:00."
Cab,"Thank you for choosing taxiforsure for 2011-08-18 at 8:39. Cab:KA76Q2636 , Chauffer: Roman, Cell: 9278845283 will reach you. T&C apply, visit www.taxiforsure.com"
Hotel,"Welcome to Fort Scammel R.No. 402, 563, 413, 502 Ch.In 2014-11-18 20:20 Ch.out 2014-12-02 12:00."
Delivery,"Dear Guest, Thanks for choosing cloud forest cafe. Order ID 8346. Delivery by 2011-02-20 21:57. Enjoy 24% discount on your next purchase. Code H9O5LU. T&C."
Movie,"Hi Customer, Booking ID: W2DT3PD. Seats: GOLD-G14, 1 seat(s) for Alice Through the Looking Glass on 2015-02-22 18:54 at Anjan Digital 4K A/C Cinema: Magadi Road. Please carry your CC/DC card which was used for booking tickets."
Reservation,"[Aida] Hi Ricardo, your reservation is confirmed for 23 people on 2009-11-01 at 6:53. We can hold your table for a maximum of 12 mins."
Hotel,"Welcome to Boil R.No. 284, 183 Ch.In 2012-03-17 16:26 Ch.out 2012-04-14 12:00."
Appointment,"DEAR Liam, THANK YOU FOR YOUR BOOKING (ORDER ID: 36637), YOUR ORDER HAS BEEN ASSIGNED TO Damien(9225635461) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-10-08 at 21:20. FOR ASSISTANCE WHATSAPP US ON 8331143762."
PickUp,"Repair ref.no for your car is JC43632742 opened on 2014-05-20 4:12hrs,ETD of your car is 2014-05-21 7:24hrs and est.repair amt is Rs.2037 Rgds, Bimal Auto Agency"
Train,"PNR:7413566575,TRAIN:6354,DOJ:2015-01-15,AC3,ATT-BPHB,Dep:0:26, Isaiah,B7 45 , Fare:1215,SC:10.0+PG+INS"
Expiry,Bimal Auto Agency : Service of your car KA63T6317 is due in 62 days on 2012-04-15. Please contact us at 9747181115 to book a service.
Bus,"* KSRTC m-Ticket *  from: ALIKE to: ANWATTI PsngrName: Gage TripCode: 1422ALIANW PNR No.: J97228374 JnyDate: 2014-01-10 DepTime: 14:22  SeatNo.: 36, 39, 13, 50, 59, 28  Class: AC chair  BoardingPt: ALIKE Residency Road Txn Password: 2228 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Bus,* KSRTC m-Ticket *  from: KOTTAYAM to: SHIVAMOGGA PsngrName: Nathaniel TripCode: 933KOTSHI PNR No.: J25792507 JnyDate: 2013-10-05 DepTime: 9:33  SeatNo.: 10  Class: AC Sleeper  BoardingPt: KOTTAYAM Residency Road Txn Password: 1353 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
Expiry,Lakshmi Auto Agency : Service of your car KA56N4238 is due in 28 days on 2011-12-25. Please contact us at 9688452284 to book a service.
Reservation,"[Handel 's Homemade Ice Cream and Yogurt] Hi Jacob, your reservation is confirmed for 17 people on 2011-01-18 at 19:23. We can hold your table for a maximum of 16 mins."
Hotel,"Welcome to Rickenbacker International Airport R.No. 451, 213, 479 Ch.In 2012-04-12 10:15 Ch.out 2012-05-05 12:00."
Flight,The PNR for your INDIGO Flt 3O478 for RAJ-CDP on 2015-02-09 at 16:18 hrs  is BOUPB4. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Reservation,"[Top Pot Doughnuts] Hi Dylan, your reservation is confirmed for 1 people on 2010-09-01 at 14:21. We can hold your table for a maximum of 27 mins."
Reservation,"[Howard Johnson 's] Hi Nathaniel, your reservation is confirmed for 1 people on 2010-11-27 at 8:54. We can hold your table for a maximum of 10 mins."
Reservation,"[Cafe Coffee Day] Hi Marcos, your reservation is confirmed for 8 people on 2014-01-20 at 7:55. We can hold your table for a maximum of 35 mins."
Cab,"Thank you for choosing taxiforsure for 2009-11-23 at 12:25. Cab:KA45S7334 , Chauffer: Scott, Cell: 9444132281 will reach you. T&C apply, visit www.taxiforsure.com"
Train,"PNR:7524156634,TRAIN:1731,DOJ:2012-05-15,SL,BPY-BIU,Dep:13:39, Keegan,S4 26 , Fare:8731,SC:10.0+PG+INS"
Payment,Bill dated 2013-06-10 for Rs 959 has been generated for your Bsnl fixedline/broadband relationship no. 83127578. The same will reach you by 2013-06-13. Due date: 2013-06-25.
Delivery,"Dear Guest, Thanks for choosing Alcohol shop. Order ID 3485. Delivery by 2012-02-07 6:41. Enjoy 29% discount on your next purchase. Code M2DEI5. T&C."
Delivery,"Dear Guest, Thanks for choosing Hotel Taj krishna. Order ID 6226. Delivery by 2009-09-15 10:47. Enjoy 18% discount on your next purchase. Code M545WF. T&C."
Train,"PNR:5873667737,TRAIN:4456,DOJ:2010-06-21,FC,BGAE-BMD,Dep:13:23, Joseph,F4 19 , Fare:2800,SC:10.0+PG+INS"
Cab,"Thank you for choosing Meru for 2009-09-26 at 0:19. Cab:KA23I6887 , Chauffer: Bradley, Cell: 9676428846 will reach you. T&C apply, visit www.Meru.com"
Reservation,"[Berthillon] Hi Cesar, your reservation is confirmed for 24 people on 2015-05-27 at 14:39. We can hold your table for a maximum of 12 mins."
Appointment,Appointment with Dr Ty in SRIHARIKOTA on 2009-12-14 at 21:19 is confirmed. For queries call 1800 3451 4655. Your appt. might get delayed in case the doctor is attending an emergency.
Cab,"Thank you for choosing radiocabs for 2012-02-20 at 8:45. Cab:KA24D2684 , Chauffer: Connor, Cell: 9531118821 will reach you. T&C apply, visit www.radiocabs.com"
PickUp,"Repair ref.no for your car is JC33378422 opened on 2009-09-07 10:52hrs,ETD of your car is 2009-09-08 16:41hrs and est.repair amt is Rs.1124 Rgds, Sarden Auto Agency"
Movie,"Hi Customer, Booking ID: W1CZGY7. Seats: PLATINUM-J10,J11,J12,J13, 4 seat(s) for Bad Moms on 2012-10-01 16:50 at INOX Lido: Off MG Road, Ulsoor. Please carry your CC/DC card which was used for booking tickets."
Train,"PNR:1443821832,TRAIN:78144,DOJ:2010-07-25,FC,ANB-BLSR,Dep:11:42, Miles,F5 63 , Fare:4202,SC:10.0+PG+INS"
Bus,"* KSRTC m-Ticket *  from: MANDYA to: MANTRALAYA PsngrName: Elias TripCode: 1033MANMAN PNR No.: J13197813 JnyDate: 2009-12-12 DepTime: 10:33  SeatNo.: 32, 10  Class: AC chair  BoardingPt: MANDYA Residency Road Txn Password: 8475 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Payment,Bill dated 2014-01-07 for Rs 625 has been generated for your Jio fixedline/broadband relationship no. 78243628. The same will reach you by 2014-01-10. Due date: 2014-01-22.
Appointment,"DEAR Hunter, THANK YOU FOR YOUR BOOKING (ORDER ID: 46811), YOUR ORDER HAS BEEN ASSIGNED TO Jaiden(9288745143) AND APPOINTMENT FOR SAMPLE COLLECTION IS SCHEDULED ON 2012-12-13 at 2:21. FOR ASSISTANCE WHATSAPP US ON 8215314568."
PickUp,"Repair ref.no for your car is JC25513726 opened on 2010-06-14 17:38hrs,ETD of your car is 2010-06-15 5:33hrs and est.repair amt is Rs.563 Rgds, Maha Veer Auto Agency"
Flight,The PNR for your SPICE JET Flt 4F668 for VNS-TRV on 2013-03-10 at 15:28 hrs  is NO9INJ. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
PickUp,"Repair ref.no for your car is JC25581584 opened on 2014-04-27 19:18hrs,ETD of your car is 2014-04-28 11:44hrs and est.repair amt is Rs.1329 Rgds, Maha Veer Auto Agency"
Appointment,Appointment with Dr Paul in Chennai on 2011-10-19 at 15:26 is confirmed. For queries call 1800 8141 1582. Your appt. might get delayed in case the doctor is attending an emergency.
Cab,"Thank you for choosing AirportTaxi for 2014-09-02 at 8:13. Cab:KA13E2363 , Chauffer: Elijah, Cell: 9775863182 will reach you. T&C apply, visit www.AirportTaxi.com"
Expiry,Aryan Auto Agency : Service of your car KA74L8547 is due in 44 days on 2015-07-25. Please contact us at 9453737557 to book a service.
Reservation,"[Takeout shop] Hi Martin, your reservation is confirmed for 23 people on 2011-09-11 at 2:57. We can hold your table for a maximum of 10 mins."
Bus,"* KSRTC m-Ticket *  from: Panaji Goa to: SECUNDERABAD PsngrName: Erick TripCode: 124PanSEC PNR No.: J33000053 JnyDate: 2010-07-09 DepTime: 1:24  SeatNo.: 13, 39  Class: Non-AC Sleeper  BoardingPt: Panaji Goa Residency Road Txn Password: 6267 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Train,"PNR:3668266661,TRAIN:4426,DOJ:2009-12-23,SL,ATRU-BLSR,Dep:6:58, Travis,S1 83 , Fare:318,SC:10.0+PG+INS"
Hotel,"Welcome to CATSKILL HUDSON BK R.No. 124, 366, 167 Ch.In 2012-04-19 22:39 Ch.out 2012-05-08 12:00."
Flight,The PNR for your INDIGO Flt 8R581 for ATQ-BDQ on 2011-06-23 at 11:54 hrs  is D3GC6Q. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Reservation,"[Franklin Cider Mill] Hi Paul, your reservation is confirmed for 7 people on 2014-06-19 at 3:32. We can hold your table for a maximum of 13 mins."
Delivery,"Dear Guest, Thanks for choosing Chicken Licken. Order ID 8134. Delivery by 2011-08-22 23:34. Enjoy 3% discount on your next purchase. Code HL75T1. T&C."
Reservation,"[Fast Eddys] Hi Alejandro, your reservation is confirmed for 7 people on 2012-02-09 at 11:12. We can hold your table for a maximum of 40 mins."
Reservation,"[Sydney Tower Restaurant] Hi Zachary, your reservation is confirmed for 1 people on 2009-10-11 at 10:54. We can hold your table for a maximum of 20 mins."
Bus,"* KSRTC m-Ticket *  from: Mysuru to: SECUNDERABAD PsngrName: Samuel TripCode: 830MysSEC PNR No.: J45963496 JnyDate: 2014-10-22 DepTime: 8:30  SeatNo.: 56, 48, 19, 13, 29  Class: Non-AC Sleeper  BoardingPt: Mysuru Residency Road Txn Password: 6816 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Movie,"Hi Customer, Booking ID: WL15CTM. Seats: GOLD-F5,F6,F7,F8,F9,F10,F11, 7 seat(s) for X-Men: Apocalypse on 2010-11-08 2:15 at Innovative Multiplex: Marathahalli. Please carry your CC/DC card which was used for booking tickets."
Movie,"Hi Customer, Booking ID: WYXURXI. Seats: PLATINUM-H7,H8,H9,H10, 4 seat(s) for The Conjuring 2 on 2009-12-04 7:10 at Cinepolis: Orion East Mall, Banaswadi. Please carry your CC/DC card which was used for booking tickets."
Hotel,Welcome to CANCER Care Clinic R.No. 415 Ch.In 2014-02-18 12:57 Ch.out 2014-03-09 12:00.
PickUp,"Repair ref.no for your car is JC24623764 opened on 2012-10-21 0:19hrs,ETD of your car is 2012-10-22 19:18hrs and est.repair amt is Rs.1385 Rgds, Hyundai Auto Agency"
Movie,"Hi Customer, Booking ID: WMGWREG. Seats: STANDARD-E16,E17,E18,E19,E20,E21,E22,E23, 8 seat(s) for The Angry Birds Movie on 2014-04-22 5:45 at Cauvery Theatre: Sankey Road. Please carry your CC/DC card which was used for booking tickets."
Appointment,Appointment with Dr Shawn in KASARGOD on 2013-08-19 at 7:28 is confirmed. For queries call 1800 3327 8674. Your appt. might get delayed in case the doctor is attending an emergency.
Expiry,Maha Veer Auto Agency : Service of your car KA33R6848 is due in 43 days on 2013-04-05. Please contact us at 9577656437 to book a service.
PickUp,"Repair ref.no for your car is JC37873712 opened on 2011-10-19 8:43hrs,ETD of your car is 2011-10-20 16:16hrs and est.repair amt is Rs.443 Rgds, Sarden Auto Agency"
Train,"PNR:1644682157,TRAIN:8668,DOJ:2012-08-25,FC,ADF-BCU,Dep:18:32, Joseph,F6 49 , Fare:5135,SC:10.0+PG+INS"
Delivery,"Dear Guest, Thanks for choosing Changing Scene. Order ID 3214. Delivery by 2013-04-04 3:35. Enjoy 25% discount on your next purchase. Code GGY3FJ. T&C."
Payment,Bill dated 2013-08-27 for Rs 868 has been generated for your Jio fixedline/broadband relationship no. 68122788. The same will reach you by 2013-08-30. Due date: 2013-09-11.
Delivery,"Dear Guest, Thanks for choosing Mc Donald. Order ID 7887. Delivery by 2010-10-01 20:10. Enjoy 13% discount on your next purchase. Code FS5GVP. T&C."
Train,"PNR:6721322716,TRAIN:37617,DOJ:2013-04-09,AC3,BBO-BPHB,Dep:2:57, Martin,B4 12 , Fare:1619,SC:10.0+PG+INS"
Cab,"Thank you for choosing taxiforsure for 2014-07-08 at 10:10. Cab:KA64M7564 , Chauffer: Corey, Cell: 9745567115 will reach you. T&C apply, visit www.taxiforsure.com"
Bus,"* KSRTC m-Ticket *  from: Hubli to: Kundapura PsngrName: Pedro TripCode: 831HubKun PNR No.: J29656611 JnyDate: 2013-09-05 DepTime: 8:31  SeatNo.: 57, 10, 14, 46, 21  Class: Non-AC Sleeper  BoardingPt: Hubli Residency Road Txn Password: 1274 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Bus,"* KSRTC m-Ticket *  from: PALAKKAD to: Shirdi PsngrName: Donovan TripCode: 253PALShi PNR No.: J99467927 JnyDate: 2012-08-20 DepTime: 2:53  SeatNo.: 32, 7, 40, 9, 12, 17, 18, 8, 23, 25  Class: Non-AC Sleeper  BoardingPt: PALAKKAD MG Road Txn Password: 6665 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Reservation,"[Halo Burger] Hi Cameron, your reservation is confirmed for 1 people on 2010-07-23 at 23:36. We can hold your table for a maximum of 1 mins."
Train,"PNR:7332652787,TRAIN:26276,DOJ:2010-11-12,AC3,BRR-BHBK,Dep:18:28, Jesus,B2 21 , Fare:8042,SC:10.0+PG+INS"
Delivery,"Dear Guest, Thanks for choosing Munson Diner. Order ID 6863. Delivery by 2015-08-15 16:48. Enjoy 13% discount on your next purchase. Code D5LAKQ. T&C."
Flight,The PNR for your INDIGO Flt 1G288 for JAI-BUP on 2013-02-24 at 6:47 hrs  is ZQI6LA. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Movie,"Hi Customer, Booking ID: WYO1GJT. Seats: PLATINUM-G10, 1 seat(s) for Star Trek Beyond on 2014-06-21 22:20 at INOX: Garuda Swagath Mall, Jayanagar. Please carry your CC/DC card which was used for booking tickets."
Flight,The PNR for your JET Airways Flt 3M722 for JGB-MZU on 2015-01-18 at 12:52 hrs  is SXHBXD. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
PickUp,"Repair ref.no for your car is JC58852533 opened on 2011-06-19 16:41hrs,ETD of your car is 2011-06-20 4:34hrs and est.repair amt is Rs.197 Rgds, Bimal Auto Agency"
Bus,* KSRTC m-Ticket *  from: Mysuru to: SRINGERI PsngrName: Johnathan TripCode: 025MysSRI PNR No.: J24524733 JnyDate: 2014-07-09 DepTime: 0:25  SeatNo.: 18  Class: AC Sleeper  BoardingPt: Mysuru Rly Station Txn Password: 8755 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in
Cab,"Thank you for choosing ucabs for 2010-12-07 at 15:17. Cab:KA81H2186 , Chauffer: Cody, Cell: 9615825288 will reach you. T&C apply, visit www.ucabs.com"
Movie,"Hi Customer, Booking ID: WBFXTI6. Seats: SILVER-G1,G2, 2 seat(s) for Ice Age: Collision Course on 2012-06-17 10:48 at INOX: Garuda Swagath Mall, Jayanagar. Please carry your CC/DC card which was used for booking tickets."
Movie,"Hi Customer, Booking ID: W4MB74R. Seats: PLATINUM-N7, 1 seat(s) for The Accountant on 2009-11-24 13:31 at INOX: Brookefield Mall. Please carry your CC/DC card which was used for booking tickets."
Hotel,"Welcome to GCU R.No. 426, 412, 294, 190 Ch.In 2014-08-15 9:46 Ch.out 2014-09-13 12:00."
Hotel,"Welcome to Miami-Dade Zoological Park and Gardens R.No. 330, 599 Ch.In 2012-12-17 5:28 Ch.out 2013-01-14 12:00."
Cab,"Thank you for choosing ucabs for 2010-11-13 at 12:13. Cab:KA47Y8681 , Chauffer: Peter, Cell: 9743244621 will reach you. T&C apply, visit www.ucabs.com"
Cab,"Thank you for choosing AirportTaxi for 2009-10-10 at 23:22. Cab:KA43H6271 , Chauffer: Nicholas, Cell: 9751178884 will reach you. T&C apply, visit www.AirportTaxi.com"
Train,"PNR:1254436878,TRAIN:66628,DOJ:2013-09-30,AC3,BYS-BEO,Dep:18:36, Pedro,B8 11 , Fare:304,SC:10.0+PG+INS"
Expiry,Lakshmi Auto Agency : Service of your car KA12C6245 is due in 54 days on 2012-04-25. Please contact us at 9413853335 to book a service.
Reservation,"[Enghelab Hotel] Hi Oscar, your reservation is confirmed for 28 people on 2013-08-17 at 22:13. We can hold your table for a maximum of 17 mins."
PickUp,"Repair ref.no for your car is JC62434242 opened on 2013-08-19 17:19hrs,ETD of your car is 2013-08-20 8:48hrs and est.repair amt is Rs.1030 Rgds, Aryan Auto Agency"
Flight,The PNR for your JET Airways Flt 7F281 for TIR-RTC on 2012-01-08 at 20:20 hrs  is YNY99P. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
Bus,"* KSRTC m-Ticket *  from: Belagavi to: TUMAKURU PsngrName: Calvin TripCode: 1644BelTUM PNR No.: J28905550 JnyDate: 2011-12-30 DepTime: 16:44  SeatNo.: 26, 19, 7  Class: AC Sleeper  BoardingPt: Belagavi MG Road Txn Password: 4413 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Movie,"Hi Customer, Booking ID: W0UATD9. Seats: STANDARD-H2,H3,H4,H5,H6,H7,H8, 7 seat(s) for Kung Fu Panda 3 on 2012-09-05 23:46 at INOX Lido: Off MG Road, Ulsoor. Please carry your CC/DC card which was used for booking tickets."
Train,"PNR:7415136424,TRAIN:31511,DOJ:2013-01-21,SL,BCK-BLDI,Dep:19:38, Nathaniel,S8 1 , Fare:3018,SC:10.0+PG+INS"
Delivery,"Dear Guest, Thanks for choosing Takeaway shop. Order ID 2871. Delivery by 2012-06-18 12:40. Enjoy 4% discount on your next purchase. Code MUB2W7. T&C."
Reservation,"[Douwe Egberts] Hi Carson, your reservation is confirmed for 11 people on 2009-09-23 at 7:52. We can hold your table for a maximum of 29 mins."
Payment,Bill dated 2014-07-16 for Rs 524 has been generated for your Bsnl fixedline/broadband relationship no. 42435315. The same will reach you by 2014-07-19. Due date: 2014-07-31.
Delivery,"Dear Guest, Thanks for choosing dominoes outlet. Order ID 3143. Delivery by 2011-07-31 17:38. Enjoy 19% discount on your next purchase. Code OH2W4X. T&C."
Bus,"* KSRTC m-Ticket *  from: KANNUR to: SHIVAMOGGA PsngrName: Andre TripCode: 313KANSHI PNR No.: J94770100 JnyDate: 2013-11-05 DepTime: 3:13  SeatNo.: 57, 2, 44, 41, 55  Class: Non-AC Sleeper  BoardingPt: KANNUR Rly Station Txn Password: 2641 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
Movie,"Hi Customer, Booking ID: W79CUE3. Seats: GOLD-L15,L16,L17,L18,L19,L20,L21, 7 seat(s) for Hidden Figures on 2013-07-27 15:31 at Cinepolis: Royal Meenakshi Mall. Please carry your CC/DC card which was used for booking tickets."
Payment,Bill dated 2009-10-10 for Rs 1060 has been generated for your Reliance fixedline/broadband relationship no. 17318843. The same will reach you by 2009-10-13. Due date: 2009-10-25.
Movie,"Hi Customer, Booking ID: W92RQO1. Seats: PLATINUM-E4,E5, 2 seat(s) for Ice Age: Collision Course on 2013-07-04 20:37 at Cauvery Theatre: Sankey Road. Please carry your CC/DC card which was used for booking tickets."
PickUp,"Repair ref.no for your car is JC18623353 opened on 2015-06-10 14:27hrs,ETD of your car is 2015-06-11 22:10hrs and est.repair amt is Rs.1817 Rgds, True Value"
